NOUN-HUM ,VERB-EAT ,NOUN-FOOD 
NOUN-HUM ,VERB-PERCEPT ,NOUN-INANIM 
NOUN-HUM ,VERB-DESTROY ,NOUN-FRAG 
NOUN-HUM ,VERB-INTRAN ,
NOUN-HUM ,VERB-TRAN ,NOUN-HUM 
NOUN-HUM ,VERB-AGPAT ,NOUN-INANIM 
NOUN-HUM ,VERB-AGPAT ,
NOUN-ANIM ,VERB-EAT ,NOUN-FOOD 
NOUN-ANIM ,VERB-TRAN ,NOUN-ANIM 
NOUN-ANIM ,VERB-AGPAT ,NOUN-INANIM 
NOUN-ANIM ,VERB-AGPAT ,
NOUN-INANIM ,VERB-AGPAT ,
NOUN-AGRESS ,VERB-DESTROY ,NOUN-FRAG 
NOUN-AGRESS ,VERB-EAT ,NOUN-HUM 
NOUN-AGRESS ,VERB-EAT ,NOUN-ANIM 
NOUN-AGRESS,VERB-EAT,NOUN-FOOD 
